DATE,PCPI06037
1969-01-01,4819
1970-01-01,5059
1971-01-01,5226
1972-01-01,5684
1973-01-01,6130
1974-01-01,6693
1975-01-01,7282
1976-01-01,7904
1977-01-01,8649
1978-01-01,9653
1979-01-01,10771
1980-01-01,11915
1981-01-01,13208
1982-01-01,13778
1983-01-01,14484
1984-01-01,15709
1985-01-01,16619
1986-01-01,17304
1987-01-01,18301
1988-01-01,19337
1989-01-01,20140
1990-01-01,21510
1991-01-01,21602
1992-01-01,22289
1993-01-01,22328
1994-01-01,22854
1995-01-01,23763
1996-01-01,24891
1997-01-01,25810
1998-01-01,27741
1999-01-01,28629
2000-01-01,30003
2001-01-01,30913
2002-01-01,31548
2003-01-01,32945
2004-01-01,35004
2005-01-01,37278
2006-01-01,40529
2007-01-01,42444
2008-01-01,43426
2009-01-01,41863
2010-01-01,43594
2011-01-01,46470
2012-01-01,49525
2013-01-01,49157
2014-01-01,52272
2015-01-01,55578
2016-01-01,57538
2017-01-01,59625
2018-01-01,62300
2019-01-01,65094
