Year, Commodity Code, Crop Name, County Code, County, Harvested Acres, Yield, Production, Price P/U, Unit, Value
2010,268099,ALMOND HULLS ,7,Butte ,  ,  ,39600,85.96,Tons ,3404000
2010,268099,ALMOND HULLS ,11,Colusa ,  ,  ,50100,85.91,Tons ,4304000
2010,268099,ALMOND HULLS ,19,Fresno ,  ,  ,374000,101,Tons ,37774000
2010,268099,ALMOND HULLS ,21,Glenn ,  ,  ,34300,90,Tons ,3087000
2010,268099,ALMOND HULLS ,29,Kern ,  ,  ,376000,77.24,Tons ,29041000
2010,268099,ALMOND HULLS ,31,Kings ,  ,  ,29000,102.62,Tons ,2976000
2010,268099,ALMOND HULLS ,39,Madera ,  ,  ,156000,102.84,Tons ,16043000
2010,268099,ALMOND HULLS ,47,Merced ,  ,  ,158000,100.57,Tons ,15890000
2010,268099,ALMOND HULLS ,77,San Joaquin ,  ,  ,99700,71,Tons ,7079000
2010,268099,ALMOND HULLS ,99,Stanislaus ,  ,  ,222000,82,Tons ,18204000
2010,268099,ALMOND HULLS ,101,Sutter ,  ,  ,1240,83.06,Tons ,103000
2010,268099,ALMOND HULLS ,107,Tulare ,  ,  ,58100,102.99,Tons ,5984000
2010,268099,ALMOND HULLS ,115,Yuba ,  ,  ,688,79.94,Tons ,55000
2010,268099,ALMOND HULLS ,991,Sum of Others ,  ,  ,115000,19.52,Tons ,2245000
2010,268099,ALMOND HULLS ,999, State Totals,,  ,1713728,85.3,    ,146189000
2010,261999,ALMONDS ALL ,7,Butte ,39300,0.84,33000,3447.91,Tons ,113781000
2010,261999,ALMONDS ALL ,11,Colusa ,40900,0.98,40000,3603.85,Tons ,144154000
2010,261999,ALMONDS ALL ,19,Fresno ,138000,1.23,170000,3419,Tons ,581230000
2010,261999,ALMONDS ALL ,21,Glenn ,32700,0.84,27400,3810.11,Tons ,104397000
2010,261999,ALMONDS ALL ,29,Kern ,141000,1.31,185000,3236.61,Tons ,598773000
2010,261999,ALMONDS ALL ,31,Kings ,14400,1,14400,3574.03,Tons ,51466000
2010,261999,ALMONDS ALL ,39,Madera ,80000,0.91,72800,3501,Tons ,254873000
2010,261999,ALMONDS ALL ,47,Merced ,98900,0.78,77500,3698.06,Tons ,286600000
2010,261999,ALMONDS ALL ,77,San Joaquin ,48200,0.92,44300,3540,Tons ,156822000
2010,261999,ALMONDS ALL ,95,Solano ,3130,0.75,2350,3603.4,Tons ,8468000
2010,261999,ALMONDS ALL ,99,Stanislaus ,145000,0.77,111000,3518,Tons ,390498000
2010,261999,ALMONDS ALL ,101,Sutter ,4450,1.12,4990,3481.76,Tons ,17374000
2010,261999,ALMONDS ALL ,103,Tehama ,9880,0.82,8110,3053.14,TONS ,24761000
2010,261999,ALMONDS ALL ,107,Tulare ,30500,0.93,28400,3460,Tons ,98264000
2010,261999,ALMONDS ALL ,113,Yolo ,12800,0.76,9750,1723.18,Tons ,16801000
2010,261999,ALMONDS ALL ,115,Yuba ,1000,0.55,550,3700,Tons ,2035000
2010,261999,ALMONDS ALL ,991,Sum of Others ,474,0.45,214,7822.43,Tons ,1674000
2010,261999,ALMONDS ALL ,999, State Totals,840634,0.99,829764,3437.09,    ,2851971000
2010,333999,ANISE (FENNEL) ,53,Monterey ,602,19.93,12000,664.75,Tons ,7977000
2010,333999,ANISE (FENNEL) ,991,Sum of Others ,282,6.27,1767,618.83,Tons ,1093470
2010,333999,ANISE (FENNEL) ,999, State Totals,884,15.57,13767,658.86,    ,9070470
2010,484999,APIARY PRODUCTS BEES NUCLEI ,89,Shasta ,  ,  ,6700,62.54,Each ,419000
2010,484999,APIARY PRODUCTS BEES NUCLEI ,999, State Totals,,  ,6700,62.54,    ,419000
2010,483999,APIARY PRODUCTS BEES PACKAGED ,11,Colusa ,  ,  ,6000,15,Lbs ,90000
2010,483999,APIARY PRODUCTS BEES PACKAGED ,21,Glenn ,  ,  ,164000,13.4,Lbs ,2197000
2010,483999,APIARY PRODUCTS BEES PACKAGED ,47,Merced ,  ,  ,67500,12,Lbs ,810000
